"Order processed by Klarna.","Ordren er blevet bearbejdet af Klarna."
"Order not found","Ordren blev ikke fundet"
"Unable to cancel payment for this order.","Kan ikke annullere betalingen for denne ordre."
"Order cancellation failed, please try again.","Annullering af ordre mislykkedes, prøv venligst igen."
"Unable to capture payment for this order.","Betaling for denne ordre kan ikke fanges."
"Payment capture not allowed.","Betalingscapture ikke tilladt."
"Payment capture failed, please try again.","Betalingsregistreringen mislykkedes, prøv venligst igen."
"Unable to refund payment for this order.","Kunne ikke refundere pengene for denne ordre."
"Payment refund failed, please try again.","Refunderingen mislykkedes, prøv venligst igen."
"%1 Klarna %2 api error messages: %3","%1 Klarna %2 API-fejlmeddelelser: %3"
